Start fixation (ms)	Stop fixation (ms)	X fixation (px)	Y fixation (px)	Number Gaze Point in Fixation	Observer
8633.33	8766.67	613.00	1558.00	5	15
8866.67	9200.00	741.00	1885.00	11	15
9600.00	9966.67	1110.00	1347.00	12	15
10033.33	10300.00	1030.00	1719.00	9	15
10400.00	10866.67	909.00	1605.00	14	15
10966.67	11266.67	1098.00	1166.00	10	15
11400.00	11566.67	2355.00	1602.00	6	15
-66.67	366.67	1846.00	1720.00	14	16
433.33	2000.00	2383.00	1519.00	48	16
2100.00	2266.67	1399.00	1114.00	6	16
2500.00	5100.00	2193.00	1558.00	79	16
5166.67	5366.67	2125.00	1352.00	7	16
5400.00	5800.00	2529.00	1497.00	13	16
5866.67	6166.67	2155.00	1647.00	10	16
6300.00	6400.00	2583.00	1624.00	4	16
6500.00	6666.67	2549.00	1602.00	6	16
6800.00	7266.67	2100.00	1896.00	15	16
7333.33	7566.67	2238.00	2018.00	8	16
7633.33	7800.00	2479.00	1872.00	6	16
7933.33	8633.33	2152.00	1815.00	21	16
8800.00	9033.33	2095.00	1588.00	8	16
9066.67	9233.33	1889.00	1627.00	6	16
9300.00	9466.67	1902.00	1399.00	6	16
9533.33	9766.67	1428.00	1341.00	8	16
9833.33	10033.33	2173.00	1080.00	7	16
10300.00	10466.67	1467.00	1496.00	6	16
10700.00	11066.67	2570.00	1461.00	12	16
11133.33	11500.00	1604.00	1363.00	12	16
-66.67	333.33	1847.00	532.00	12	17
400.00	566.67	1932.00	1272.00	6	17
600.00	766.67	2289.00	1395.00	6	17
800.00	1333.33	2264.00	1341.00	17	17
1433.33	1666.67	1398.00	156.00	8	17
1800.00	1900.00	1447.00	189.00	4	17
2200.00	2566.67	1756.00	1533.00	12	17
2600.00	3400.00	1988.00	1381.00	25	17
3433.33	4466.67	1900.00	1415.00	32	17
4533.33	5066.67	1651.00	1645.00	17	17
5133.33	5333.33	1806.00	717.00	7	17
5700.00	5966.67	1718.00	349.00	9	17
6033.33	6666.67	2169.00	1348.00	19	17
6700.00	6933.33	2316.00	1424.00	8	17
6966.67	7200.00	2133.00	1797.00	8	17
7300.00	7533.33	1387.00	1631.00	8	17
7600.00	7800.00	1932.00	1754.00	7	17
7833.33	8066.67	2029.00	1767.00	7	17
8100.00	8566.67	1756.00	1741.00	15	17
8600.00	9033.33	1624.00	1463.00	14	17
9100.00	9400.00	1355.00	1111.00	10	17
9433.33	9800.00	1125.00	1161.00	12	17
9866.67	10100.00	1143.00	1594.00	8	17
10166.67	10333.33	1131.00	1053.00	6	17
10366.67	10766.67	1123.00	770.00	13	17
10866.67	11166.67	2515.00	1328.00	10	17
11300.00	11533.33	1204.00	1278.00	8	17
11566.67	11700.00	1116.00	1371.00	5	17
133.33	233.33	1703.00	699.00	4	18
866.67	2200.00	1975.00	1418.00	37	18
2266.67	2533.33	1604.00	1633.00	9	18
2566.67	3100.00	1739.00	1455.00	17	18
3166.67	3666.67	1828.00	1543.00	16	18
3800.00	3966.67	1789.00	1541.00	6	18
4000.00	4566.67	1710.00	1540.00	18	18
4633.33	5033.33	1707.00	1519.00	13	18
5133.33	5533.33	1717.00	1228.00	12	18
5700.00	6000.00	2344.00	1368.00	10	18
6066.67	6266.67	1754.00	1288.00	7	18
6333.33	7066.67	1693.00	1310.00	23	18
7700.00	7800.00	1428.00	1299.00	4	18
8066.67	8433.33	1962.00	1466.00	11	18
8500.00	8633.33	1830.00	1272.00	5	18
8700.00	8833.33	1877.00	1609.00	5	18
8866.67	9100.00	1669.00	1805.00	8	18
9133.33	9266.67	1640.00	1605.00	5	18
9366.67	9533.33	1097.00	1576.00	6	18
9566.67	9900.00	1131.00	1433.00	11	18
9966.67	10166.67	1934.00	1479.00	7	18
10233.33	10666.67	1087.00	1593.00	14	18
10800.00	11200.00	2242.00	1437.00	13	18
11266.67	11566.67	1396.00	1235.00	10	18
-66.67	466.67	1980.00	537.00	16	19
733.33	2333.33	2004.00	1401.00	48	19
2366.67	2900.00	1861.00	1286.00	17	19
3066.67	3533.33	1466.00	683.00	15	19
3566.67	4200.00	1777.00	735.00	20	19
4233.33	5733.33	1916.00	831.00	45	19
5800.00	6466.67	2212.00	1275.00	21	19
6666.67	7466.67	2050.00	1398.00	25	19
7500.00	8400.00	2301.00	1417.00	28	19
8666.67	9300.00	1596.00	1462.00	19	19
9400.00	9966.67	1179.00	1539.00	18	19
10266.67	11266.67	1536.00	1143.00	30	19
-66.67	333.33	2633.00	2783.00	13	1
433.33	666.67	2057.00	1478.00	8	1
700.00	900.00	2064.00	1600.00	7	1
966.67	1200.00	1838.00	1802.00	8	1
1333.33	1600.00	2075.00	1629.00	9	1
1700.00	1833.33	1721.00	768.00	5	1
1900.00	2233.33	1201.00	846.00	11	1
2266.67	2433.33	1050.00	1170.00	6	1
2500.00	3566.67	1848.00	1659.00	33	1
3666.67	4000.00	1284.00	759.00	10	1
4066.67	5066.67	1763.00	1668.00	31	1
5100.00	5666.67	1252.00	1650.00	18	1
5733.33	6066.67	1727.00	992.00	11	1
6133.33	6300.00	2379.00	1405.00	6	1
6333.33	6466.67	2446.00	1519.00	5	1
6566.67	6733.33	2291.00	780.00	6	1
6800.00	7133.33	1824.00	610.00	11	1
7200.00	8166.67	2350.00	621.00	29	1
8233.33	8600.00	3019.00	1110.00	12	1
8666.67	8766.67	3380.00	1319.00	4	1
8900.00	9100.00	1458.00	1141.00	7	1
9166.67	9366.67	1345.00	1810.00	7	1
9433.33	9700.00	1164.00	1316.00	9	1
9766.67	10033.33	982.00	1125.00	9	1
10100.00	10466.67	683.00	1612.00	12	1
10500.00	10666.67	651.00	1672.00	6	1
10833.33	10966.67	1114.00	1401.00	5	1
11033.33	11300.00	1728.00	1679.00	9	1
11366.67	11700.00	1088.00	1450.00	11	1
-66.67	1000.00	1733.00	1635.00	33	20
1066.67	2900.00	1873.00	1726.00	56	20
3033.33	3400.00	1234.00	1063.00	12	20
3466.67	3733.33	1708.00	714.00	9	20
3800.00	3966.67	2048.00	1491.00	6	20
4266.67	4466.67	950.00	1900.00	7	20
4533.33	5333.33	1586.00	1839.00	25	20
5366.67	5666.67	1363.00	1962.00	10	20
5700.00	5933.33	1652.00	1700.00	8	20
6000.00	6233.33	1724.00	1479.00	8	20
6366.67	6633.33	1909.00	2087.00	9	20
6666.67	7133.33	1913.00	2212.00	15	20
7433.33	8200.00	1769.00	2155.00	24	20
8233.33	8600.00	1621.00	2103.00	12	20
8633.33	8900.00	1527.00	1987.00	9	20
8933.33	9100.00	1289.00	1884.00	6	20
9433.33	9666.67	803.00	1715.00	8	20
9700.00	10000.00	929.00	1671.00	10	20
10033.33	10233.33	913.00	1435.00	7	20
10433.33	10666.67	1298.00	2025.00	7	20
10833.33	10933.33	962.00	1681.00	4	20
11066.67	11300.00	911.00	1682.00	7	20
-66.67	366.67	1813.00	1477.00	13	21
400.00	833.33	1961.00	1656.00	14	21
900.00	1233.33	1781.00	1882.00	11	21
1266.67	2266.67	1933.00	1740.00	31	21
2300.00	2433.33	1797.00	1779.00	5	21
2500.00	2800.00	1686.00	1908.00	10	21
2833.33	2966.67	1743.00	1793.00	5	21
3000.00	3366.67	1643.00	1939.00	12	21
3466.67	3933.33	1712.00	1772.00	15	21
4066.67	4166.67	1580.00	1072.00	4	21
4233.33	4366.67	1369.00	819.00	5	21
4433.33	4566.67	1690.00	1455.00	5	21
4600.00	4733.33	1660.00	1624.00	5	21
4766.67	5033.33	1663.00	1728.00	9	21
5100.00	5400.00	2143.00	1648.00	10	21
5500.00	5666.67	1853.00	697.00	6	21
5766.67	6200.00	2194.00	639.00	13	21
6266.67	6533.33	1906.00	552.00	9	21
6633.33	6866.67	1746.00	1531.00	8	21
6966.67	7100.00	988.00	884.00	5	21
7200.00	7333.33	834.00	641.00	5	21
7566.67	7766.67	1897.00	1232.00	7	21
7833.33	8133.33	1911.00	1656.00	10	21
8200.00	8366.67	1767.00	1971.00	6	21
8466.67	8833.33	1639.00	2005.00	12	21
8866.67	9233.33	1474.00	1827.00	12	21
9266.67	9700.00	1184.00	1769.00	14	21
9733.33	10033.33	1154.00	1533.00	10	21
10066.67	10533.33	1143.00	1345.00	15	21
10600.00	10800.00	1290.00	1587.00	7	21
10833.33	11000.00	1609.00	1771.00	6	21
11066.67	11500.00	1199.00	1837.00	14	21
11533.33	11766.67	1136.00	1907.00	8	21
-33.33	400.00	2076.00	1044.00	14	22
433.33	1133.33	2269.00	1385.00	22	22
1200.00	1400.00	1950.00	1487.00	7	22
1466.67	3133.33	2126.00	1378.00	51	22
3200.00	3500.00	1750.00	1582.00	10	22
3566.67	4133.33	1944.00	1368.00	18	22
4166.67	5133.33	1810.00	1398.00	30	22
5200.00	5366.67	1881.00	907.00	6	22
5433.33	5600.00	2006.00	583.00	6	22
5633.33	5900.00	2066.00	346.00	9	22
5933.33	6300.00	1812.00	496.00	12	22
6400.00	6633.33	2009.00	1320.00	8	22
6700.00	7033.33	2644.00	1429.00	10	22
7300.00	7566.67	1959.00	1672.00	9	22
8066.67	8433.33	1668.00	1822.00	11	22
8500.00	8633.33	1741.00	1766.00	5	22
8666.67	8800.00	1741.00	1638.00	5	22
8866.67	9033.33	1985.00	1565.00	6	22
9100.00	9200.00	1603.00	1471.00	4	22
9266.67	9433.33	1253.00	1361.00	6	22
9466.67	10100.00	1067.00	1228.00	20	22
10166.67	10566.67	1719.00	1546.00	12	22
10666.67	11233.33	2440.00	1393.00	17	22
11333.33	11600.00	1174.00	1317.00	9	22
-66.67	333.33	1722.00	935.00	13	23
400.00	500.00	1790.00	1373.00	4	23
566.67	1433.33	1987.00	1437.00	27	23
1500.00	1666.67	1365.00	1494.00	6	23
1733.33	1900.00	376.00	1029.00	6	23
1966.67	2100.00	513.00	720.00	5	23
2266.67	2500.00	1756.00	1461.00	8	23
2533.33	2833.33	1787.00	1498.00	10	23
3033.33	3500.00	1711.00	1512.00	15	23
3600.00	4100.00	1702.00	1526.00	16	23
4166.67	4500.00	1668.00	1524.00	11	23
4566.67	4900.00	2248.00	1737.00	11	23
4966.67	5166.67	1784.00	1607.00	7	23
5233.33	5433.33	1635.00	1198.00	7	23
5500.00	5800.00	1638.00	718.00	10	23
5866.67	6033.33	1611.00	1293.00	6	23
6100.00	6233.33	1399.00	1675.00	5	23
6266.67	6466.67	1261.00	1751.00	7	23
6900.00	7033.33	2222.00	1413.00	4	23
7066.67	7200.00	2264.00	1337.00	5	23
7366.67	7566.67	1389.00	1675.00	7	23
7600.00	8033.33	1749.00	1852.00	14	23
8066.67	8633.33	1607.00	1749.00	17	23
8666.67	9000.00	1533.00	1648.00	11	23
9033.33	9233.33	1360.00	1564.00	7	23
9300.00	9533.33	1050.00	1600.00	8	23
9600.00	9800.00	994.00	1168.00	7	23
9866.67	10066.67	947.00	825.00	7	23
10166.67	10433.33	1143.00	1378.00	9	23
10466.67	10600.00	994.00	1549.00	5	23
10733.33	10966.67	2108.00	1359.00	8	23
11066.67	11266.67	1066.00	1372.00	7	23
11333.33	11600.00	977.00	1052.00	9	23
11733.33	11900.00	1447.00	1551.00	6	23
-33.33	366.67	1743.00	1363.00	13	24
400.00	666.67	1865.00	1692.00	9	24
700.00	833.33	1669.00	1765.00	5	24
900.00	1566.67	1908.00	1625.00	21	24
1633.33	1833.33	1676.00	1759.00	7	24
1900.00	2733.33	1751.00	1615.00	26	24
2800.00	3100.00	1694.00	1180.00	10	24
3166.67	3833.33	1652.00	1598.00	21	24
3900.00	4000.00	1721.00	1151.00	4	24
4066.67	4166.67	1547.00	886.00	4	24
4233.33	4500.00	1157.00	900.00	9	24
4566.67	5233.33	1620.00	1555.00	21	24
5300.00	5466.67	1596.00	1305.00	6	24
5500.00	5633.33	1623.00	978.00	5	24
5700.00	5933.33	2115.00	1490.00	8	24
6000.00	6433.33	1821.00	1085.00	14	24
6500.00	7066.67	2032.00	931.00	18	24
7100.00	7300.00	1789.00	1125.00	7	24
7400.00	7600.00	1816.00	1804.00	7	24
7666.67	7833.33	1708.00	1951.00	6	24
7866.67	8000.00	1557.00	1932.00	5	24
8300.00	8533.33	1553.00	1861.00	8	24
8566.67	8833.33	1488.00	1723.00	9	24
8966.67	9166.67	1390.00	1583.00	7	24
9200.00	9966.67	1025.00	1454.00	24	24
10200.00	10400.00	2130.00	1518.00	7	24
10500.00	10833.33	1018.00	1472.00	11	24
10900.00	11266.67	810.00	1513.00	12	24
11333.33	11800.00	1003.00	1686.00	15	24
-33.33	266.67	1037.00	1054.00	10	25
433.33	533.33	1721.00	1228.00	4	25
600.00	733.33	2089.00	1434.00	5	25
766.67	933.33	1971.00	1508.00	6	25
1000.00	1566.67	2171.00	1581.00	18	25
1600.00	2066.67	1930.00	1673.00	15	25
2100.00	3333.33	1898.00	1584.00	38	25
3566.67	5066.67	1757.00	1576.00	46	25
5266.67	5733.33	1335.00	1146.00	15	25
5800.00	5966.67	1689.00	1201.00	6	25
6033.33	6366.67	1955.00	1278.00	10	25
6566.67	6700.00	1746.00	1214.00	5	25
6766.67	7300.00	2308.00	1495.00	16	25
7366.67	7566.67	1707.00	1619.00	7	25
7633.33	8133.33	1309.00	1760.00	16	25
8300.00	8766.67	2388.00	1603.00	15	25
8866.67	9133.33	1835.00	866.00	9	25
9200.00	9533.33	1353.00	803.00	11	25
9600.00	9933.33	1006.00	1167.00	11	25
9966.67	10133.33	920.00	1255.00	6	25
10266.67	10866.67	562.00	1176.00	19	25
10900.00	11066.67	823.00	1328.00	6	25
11233.33	11466.67	1047.00	1531.00	8	25
11500.00	11733.33	990.00	1642.00	8	25
-66.67	166.67	2130.00	975.00	8	26
266.67	466.67	1622.00	1173.00	7	26
533.33	1200.00	2019.00	1532.00	21	26
1233.33	1366.67	1886.00	1685.00	5	26
1466.67	1800.00	1331.00	650.00	11	26
1866.67	2066.67	935.00	832.00	7	26
2133.33	2500.00	1750.00	1565.00	12	26
2533.33	2766.67	1766.00	1730.00	8	26
2800.00	3333.33	1834.00	1627.00	17	26
3366.67	4066.67	1696.00	1785.00	22	26
4100.00	5633.33	1741.00	1625.00	47	26
5800.00	6333.33	1698.00	916.00	17	26
6400.00	6633.33	2146.00	814.00	8	26
6700.00	6933.33	2081.00	1554.00	8	26
7000.00	7400.00	2104.00	1770.00	13	26
7433.33	8333.33	2014.00	1905.00	28	26
8366.67	8600.00	1781.00	1838.00	8	26
8633.33	8833.33	1676.00	1761.00	7	26
8866.67	9366.67	1446.00	1559.00	16	26
9400.00	9766.67	1101.00	1437.00	12	26
9800.00	10266.67	1121.00	1293.00	14	26
10366.67	10933.33	2099.00	1506.00	17	26
11000.00	11333.33	1161.00	1319.00	11	26
100.00	300.00	1848.00	155.00	7	27
400.00	500.00	1763.00	979.00	4	27
600.00	1766.67	2000.00	1426.00	35	27
1833.33	2333.33	1900.00	1496.00	15	27
2366.67	3700.00	1744.00	1516.00	40	27
3766.67	3900.00	1706.00	1840.00	5	27
3933.33	4133.33	1736.00	1833.00	7	27
4200.00	5366.67	1614.00	1579.00	36	27
5433.33	6233.33	1621.00	1690.00	24	27
6333.33	6766.67	937.00	1652.00	13	27
6866.67	7766.67	1733.00	781.00	27	27
8000.00	8133.33	1921.00	1484.00	5	27
8166.67	8333.33	1867.00	1687.00	6	27
8400.00	8866.67	1550.00	1755.00	15	27
8933.33	9366.67	1157.00	1669.00	14	27
9400.00	9566.67	935.00	1554.00	6	27
9600.00	9966.67	1004.00	1484.00	12	27
10033.33	10233.33	1000.00	1204.00	7	27
10266.67	10766.67	897.00	1106.00	14	27
10866.67	11066.67	1686.00	1301.00	7	27
11100.00	11566.67	1783.00	1359.00	15	27
-66.67	366.67	2100.00	1010.00	14	28
433.33	566.67	1993.00	1509.00	5	28
633.33	1033.33	2133.00	1461.00	13	28
1066.67	1400.00	1946.00	1610.00	11	28
1433.33	1566.67	2044.00	1423.00	5	28
1600.00	3100.00	2019.00	1474.00	46	28
3233.33	3400.00	1921.00	1385.00	6	28
3466.67	3700.00	1975.00	840.00	8	28
3766.67	4033.33	1629.00	760.00	9	28
4100.00	4500.00	1778.00	1588.00	13	28
4566.67	5033.33	1773.00	1873.00	15	28
5100.00	5600.00	1754.00	1440.00	16	28
5700.00	5933.33	1437.00	1733.00	8	28
6000.00	6266.67	1795.00	1361.00	9	28
6300.00	6666.67	2230.00	1437.00	12	28
6733.33	7066.67	2100.00	905.00	11	28
7100.00	7333.33	2091.00	1182.00	8	28
7400.00	7933.33	2054.00	1783.00	17	28
7966.67	8266.67	1892.00	1810.00	10	28
8300.00	8600.00	1798.00	1732.00	10	28
8633.33	8866.67	1725.00	1601.00	8	28
8933.33	9300.00	1501.00	1484.00	12	28
9333.33	9600.00	1285.00	1411.00	9	28
9666.67	9933.33	1585.00	721.00	9	28
10000.00	10200.00	1718.00	1020.00	7	28
10266.67	10666.67	1078.00	1092.00	13	28
10833.33	11266.67	2405.00	1374.00	14	28
11333.33	11500.00	1883.00	1146.00	6	28
11566.67	11766.67	1342.00	1409.00	7	28
-66.67	133.33	1808.00	1101.00	7	29
300.00	400.00	1824.00	1141.00	4	29
533.33	1166.67	1920.00	1414.00	20	29
1400.00	1666.67	1734.00	1518.00	9	29
1700.00	2333.33	1871.00	1397.00	19	29
2366.67	2466.67	2121.00	1319.00	4	29
2533.33	4700.00	1721.00	1401.00	65	29
4800.00	5266.67	1641.00	1429.00	15	29
5433.33	5666.67	1425.00	464.00	7	29
5700.00	6233.33	1640.00	416.00	16	29
6300.00	6533.33	1762.00	983.00	8	29
6633.33	6800.00	2264.00	1438.00	6	29
7133.33	8133.33	1904.00	1548.00	30	29
8166.67	8866.67	1621.00	1603.00	22	29
8900.00	9066.67	1417.00	1522.00	6	29
9100.00	9266.67	1238.00	1448.00	5	29
9300.00	9500.00	1053.00	1391.00	7	29
9533.33	9933.33	924.00	1323.00	13	29
9966.67	10266.67	1009.00	1187.00	10	29
10300.00	11100.00	937.00	959.00	25	29
100.00	300.00	2894.00	1739.00	7	2
366.67	500.00	2088.00	1046.00	5	2
566.67	766.67	2056.00	1356.00	7	2
800.00	1833.33	2211.00	1205.00	32	2
2033.33	2166.67	931.00	375.00	5	2
2233.33	2500.00	1947.00	1239.00	9	2
2533.33	3166.67	1993.00	1303.00	20	2
3233.33	3433.33	1925.00	654.00	7	2
3500.00	3900.00	1954.00	295.00	13	2
4066.67	4200.00	1992.00	1338.00	5	2
4233.33	4366.67	1933.00	1260.00	5	2
4433.33	4566.67	1212.00	982.00	5	2
4666.67	5000.00	2476.00	1193.00	11	2
5066.67	5433.33	1800.00	1065.00	12	2
5500.00	5933.33	1778.00	559.00	14	2
6000.00	6633.33	1899.00	1129.00	20	2
6666.67	7000.00	1803.00	849.00	11	2
7100.00	7266.67	2219.00	1741.00	6	2
7466.67	7666.67	1582.00	1393.00	7	2
7700.00	8400.00	1491.00	1449.00	22	2
8466.67	8833.33	1751.00	1565.00	12	2
8900.00	9100.00	1542.00	1291.00	7	2
9133.33	9466.67	1428.00	1066.00	11	2
9533.33	9800.00	1211.00	1123.00	9	2
9866.67	10200.00	1021.00	732.00	11	2
10233.33	10566.67	1108.00	646.00	11	2
10633.33	10766.67	1175.00	1147.00	5	2
10900.00	11033.33	2315.00	1149.00	5	2
11066.67	11266.67	2485.00	1125.00	7	2
11400.00	11633.33	1233.00	1263.00	8	2
11666.67	11866.67	1241.00	821.00	7	2
66.67	200.00	1411.00	154.00	5	30
433.33	633.33	1843.00	918.00	7	30
700.00	900.00	1895.00	1579.00	7	30
966.67	1166.67	2226.00	1473.00	7	30
1233.33	1466.67	1982.00	1601.00	8	30
1533.33	1733.33	2227.00	1477.00	7	30
2000.00	2133.33	2180.00	1541.00	5	30
2266.67	2500.00	1975.00	1814.00	8	30
2566.67	3300.00	1898.00	1615.00	23	30
3366.67	4133.33	2225.00	1521.00	24	30
4200.00	4366.67	1955.00	1664.00	6	30
4466.67	5100.00	2039.00	1629.00	20	30
5166.67	5466.67	1583.00	1778.00	10	30
5533.33	5666.67	1883.00	1333.00	5	30
5733.33	6100.00	1773.00	857.00	12	30
6166.67	6400.00	1662.00	631.00	8	30
6500.00	6700.00	2401.00	1536.00	7	30
6733.33	7000.00	2381.00	1431.00	9	30
7200.00	7566.67	1786.00	1993.00	12	30
7600.00	7966.67	1762.00	2013.00	11	30
8100.00	8433.33	1366.00	1972.00	10	30
8566.67	8666.67	1340.00	1978.00	4	30
8700.00	9200.00	1284.00	1932.00	16	30
9233.33	9400.00	1167.00	1820.00	6	30
9433.33	9966.67	1185.00	1694.00	17	30
10033.33	10533.33	1296.00	1621.00	16	30
10633.33	11266.67	1244.00	1602.00	19	30
11433.33	11633.33	1274.00	1754.00	6	30
-66.67	366.67	1992.00	1083.00	14	31
433.33	566.67	1732.00	1469.00	5	31
633.33	1466.67	2018.00	1306.00	26	31
1500.00	2000.00	1961.00	1320.00	16	31
2166.67	2633.33	1698.00	1437.00	15	31
2666.67	2833.33	1806.00	1332.00	6	31
2866.67	3233.33	2093.00	1182.00	12	31
3300.00	3466.67	2720.00	804.00	6	31
3533.33	3733.33	2894.00	967.00	7	31
3800.00	4033.33	2185.00	1275.00	8	31
4100.00	4533.33	1665.00	1349.00	14	31
4600.00	4966.67	1242.00	1423.00	12	31
5033.33	5166.67	1681.00	1354.00	4	31
5233.33	5400.00	1945.00	914.00	6	31
5566.67	5666.67	1994.00	856.00	4	31
5866.67	6200.00	2096.00	981.00	11	31
