Start fixation (ms)	Stop fixation (ms)	X fixation (px)	Y fixation (px)	Number Gaze Point in Fixation	Observer
-66.67	366.67	2083.00	919.00	13	11
400.00	866.67	1878.00	880.00	15	11
900.00	1533.33	1913.00	1050.00	19	11
1566.67	2066.67	1920.00	941.00	16	11
2133.33	2366.67	1303.00	1364.00	8	11
2433.33	2600.00	700.00	701.00	6	11
2766.67	2866.67	1834.00	915.00	4	11
2933.33	3100.00	2225.00	743.00	6	11
3133.33	3666.67	2304.00	791.00	17	11
3700.00	4000.00	2378.00	1001.00	10	11
4166.67	4500.00	1819.00	1617.00	11	11
4566.67	4733.33	2291.00	1113.00	6	11
4933.33	5233.33	1235.00	1117.00	10	11
5266.67	5400.00	1174.00	949.00	5	11
5433.33	6066.67	1153.00	873.00	20	11
6300.00	7200.00	2062.00	867.00	27	11
7300.00	7433.33	481.00	419.00	5	11
7533.33	7766.67	2255.00	742.00	8	11
7800.00	8033.33	2472.00	802.00	8	11
8066.67	8266.67	2395.00	721.00	7	11
8300.00	8666.67	2374.00	806.00	12	11
8700.00	9100.00	2548.00	1122.00	13	11
9266.67	11066.67	2243.00	844.00	55	11
11166.67	11433.33	3262.00	1432.00	9	11
11500.00	11766.67	2358.00	1025.00	9	11
300.00	433.33	2187.00	685.00	5	12
700.00	800.00	1929.00	979.00	4	12
866.67	1166.67	1881.00	1002.00	10	12
1333.33	1466.67	2255.00	806.00	4	12
1566.67	1666.67	2045.00	893.00	4	12
1800.00	2066.67	2006.00	941.00	9	12
2233.33	2400.00	1286.00	1334.00	6	12
2500.00	2766.67	535.00	1073.00	9	12
3000.00	3166.67	2354.00	770.00	6	12
3200.00	3566.67	2447.00	737.00	12	12
3600.00	4333.33	2434.00	695.00	23	12
4466.67	4600.00	2278.00	865.00	5	12
4733.33	4966.67	2358.00	888.00	8	12
5066.67	5800.00	2345.00	935.00	23	12
5833.33	6033.33	2359.00	907.00	7	12
6066.67	6266.67	2446.00	708.00	7	12
6600.00	6766.67	1796.00	1044.00	6	12
6800.00	7000.00	1912.00	879.00	7	12
7033.33	7200.00	1880.00	1012.00	6	12
7366.67	7533.33	2127.00	828.00	6	12
7600.00	7700.00	2492.00	656.00	4	12
7800.00	8100.00	2470.00	669.00	10	12
8366.67	8533.33	2533.00	814.00	6	12
8600.00	9400.00	2500.00	691.00	25	12
9433.33	9600.00	2565.00	838.00	6	12
9633.33	10666.67	2459.00	699.00	32	12
10700.00	10966.67	2238.00	1014.00	9	12
11166.67	11266.67	2359.00	839.00	4	12
11300.00	11566.67	2357.00	827.00	9	12
11666.67	11766.67	2289.00	938.00	4	12
-66.67	433.33	1930.00	1072.00	16	13
500.00	700.00	1822.00	947.00	7	13
800.00	966.67	3138.00	877.00	6	13
1066.67	1300.00	1903.00	908.00	8	13
1333.33	1633.33	1869.00	1160.00	10	13
1666.67	2000.00	1812.00	1091.00	11	13
2066.67	2400.00	718.00	1228.00	11	13
2466.67	2600.00	258.00	1048.00	5	13
2766.67	2866.67	1728.00	1053.00	4	13
2933.33	3633.33	2249.00	882.00	22	13
3700.00	4533.33	2316.00	1123.00	26	13
4566.67	4966.67	2321.00	846.00	13	13
5066.67	5366.67	1577.00	1019.00	10	13
5400.00	6266.67	2129.00	1037.00	27	13
6333.33	6600.00	1318.00	1050.00	9	13
6666.67	6866.67	1055.00	1302.00	7	13
7000.00	7366.67	955.00	953.00	12	13
7433.33	7766.67	753.00	1454.00	11	13
7900.00	8400.00	188.00	490.00	16	13
8566.67	8733.33	2169.00	851.00	6	13
8766.67	9000.00	2317.00	945.00	8	13
9066.67	9433.33	2470.00	1140.00	12	13
9466.67	9933.33	2405.00	1198.00	15	13
10000.00	10866.67	2163.00	880.00	27	13
10933.33	11166.67	2141.00	1292.00	8	13
11200.00	11733.33	2242.00	1121.00	17	13
11766.67	11866.67	1972.00	1261.00	4	13
-66.67	366.67	1743.00	2257.00	14	14
433.33	600.00	1784.00	1173.00	6	14
633.33	933.33	1857.00	907.00	10	14
966.67	1066.67	1713.00	1192.00	4	14
1133.33	1466.67	1732.00	974.00	11	14
1500.00	1766.67	1787.00	1068.00	9	14
2066.67	2300.00	713.00	1474.00	8	14
2400.00	2633.33	186.00	820.00	8	14
2900.00	3366.67	2154.00	886.00	15	14
3400.00	3766.67	2261.00	1096.00	12	14
3800.00	4133.33	1857.00	1233.00	11	14
4200.00	4400.00	2224.00	941.00	7	14
4433.33	4633.33	2099.00	1061.00	7	14
4666.67	4800.00	2102.00	1214.00	5	14
4900.00	5066.67	2021.00	1242.00	6	14
5166.67	5833.33	1611.00	1281.00	20	14
5900.00	6966.67	1959.00	1041.00	32	14
7100.00	7533.33	1681.00	968.00	14	14
7600.00	9000.00	2250.00	888.00	43	14
9133.33	10733.33	2230.00	948.00	49	14
10766.67	11000.00	2024.00	1202.00	8	14
11100.00	11800.00	2040.00	1107.00	22	14
-66.67	266.67	2025.00	1162.00	11	15
300.00	400.00	2194.00	1195.00	4	15
466.67	1233.33	1763.00	1088.00	24	15
1266.67	1533.33	1876.00	1277.00	9	15
1566.67	1900.00	1832.00	1195.00	11	15
2033.33	2266.67	786.00	1332.00	8	15
2366.67	2633.33	193.00	525.00	9	15
2766.67	4166.67	2074.00	1012.00	42	15
4366.67	4966.67	1748.00	1268.00	19	15
5033.33	8900.00	2151.00	1206.00	115	15
9100.00	9233.33	1226.00	1012.00	5	15
9333.33	9500.00	167.00	574.00	6	15
9766.67	9866.67	1995.00	986.00	4	15
9900.00	10800.00	2034.00	1041.00	28	15
10833.33	11000.00	2046.00	1318.00	6	15
11133.33	11666.67	1753.00	1781.00	17	15
11700.00	11900.00	1927.00	1813.00	7	15
-66.67	300.00	2166.00	2080.00	12	16
366.67	1133.33	2262.00	1321.00	24	16
1166.67	1766.67	2195.00	1340.00	19	16
1866.67	2233.33	2197.00	1371.00	12	16
2333.33	2733.33	1114.00	1405.00	13	16
2800.00	2933.33	2202.00	1335.00	5	16
2966.67	3633.33	2442.00	1260.00	21	16
3666.67	4366.67	2490.00	1265.00	22	16
4400.00	5566.67	2397.00	1336.00	36	16
5666.67	5833.33	2361.00	1377.00	6	16
5866.67	6066.67	2490.00	1304.00	7	16
6100.00	7066.67	2509.00	1234.00	30	16
7200.00	7700.00	2562.00	1202.00	16	16
7866.67	9566.67	2403.00	1188.00	51	16
9633.33	11266.67	2481.00	1236.00	49	16
11300.00	11833.33	2502.00	1331.00	17	16
-66.67	300.00	1505.00	482.00	12	17
333.33	500.00	1867.00	813.00	6	17
600.00	1033.33	2063.00	669.00	14	17
1066.67	1300.00	1969.00	826.00	8	17
1333.33	1833.33	2073.00	731.00	16	17
1900.00	2000.00	1399.00	789.00	4	17
2033.33	2733.33	943.00	897.00	22	17
2833.33	3666.67	2371.00	650.00	26	17
3700.00	4133.33	2539.00	913.00	14	17
4200.00	4400.00	2433.00	646.00	7	17
4433.33	4900.00	2316.00	915.00	15	17
4966.67	5166.67	1841.00	527.00	7	17
5200.00	5666.67	1830.00	266.00	15	17
5733.33	6000.00	2293.00	920.00	9	17
6033.33	6233.33	2537.00	587.00	7	17
6266.67	6533.33	2485.00	758.00	9	17
6566.67	7100.00	2558.00	699.00	17	17
7166.67	7533.33	1274.00	596.00	12	17
7566.67	8233.33	1641.00	679.00	21	17
8300.00	9133.33	2450.00	682.00	26	17
9200.00	9533.33	1600.00	1028.00	11	17
9600.00	10233.33	2326.00	653.00	20	17
10266.67	10833.33	2518.00	794.00	18	17
11033.33	11766.67	2243.00	725.00	23	17
900.00	1433.33	1819.00	950.00	17	18
1466.67	2000.00	1875.00	1091.00	17	18
